GPS_Time(s),PRN,nSV,pseudorange,pseudorange_corrected,Elevation,Azimuth,C/N0,err_tropo,err_iono,sat_clock_error,Pseudorange_residual,Normalized_Pseudorange_residual,Pr_rate_consitency,Sat_pos_x,Sat_pos_y,Sat_pos_z,User_pos_lon,User_pos_lat,User_pos_H,Pre_0_30,Pre_30_60,Pre_60_90,mean_Abs_pr_residual
86432.003000,10.000000,11.000000,21103204.542000,21007348.563536,237.743206,88.293506,49.000000,2.383848,2.318040,-95851.276576,44.908903,1.000000,-9999.000000,-9600991.463082,22659427.360091,9740609.447524,114.141019,22.322073,93.552570,1.000000,1.000000,1.000000,21.699782
86432.003000,12.000000,11.000000,23519116.434000,23467961.899722,56.485623,30.279313,48.000000,4.710579,4.354525,-51145.469174,28.263417,0.646001,-9999.000000,-19865419.390797,4617787.165283,16675450.725704,114.141019,22.322073,93.552570,1.000000,1.000000,1.000000,21.699782
86432.003000,18.000000,11.000000,25981216.310000,26053360.923872,176.034065,5.516214,44.000000,21.881237,7.887366,72174.382476,3.320718,0.115545,-9999.000000,-8785725.379686,15371324.674149,-19767623.653803,114.141019,22.322073,93.552570,1.000000,1.000000,1.000000,21.699782
86432.003000,21.000000,11.000000,26704904.513000,26752248.291437,303.733715,5.600144,44.000000,21.640030,4.476931,47369.895397,7.673028,0.208106,-9999.000000,18365504.260726,11312168.011351,16575754.214091,114.141019,22.322073,93.552570,1.000000,1.000000,1.000000,21.699782
86432.003000,22.000000,11.000000,23881925.486000,23945831.694931,315.865079,31.365532,48.000000,4.564453,3.504966,63914.278350,9.139008,0.239283,-9999.000000,7739785.815800,16215711.486789,20017838.083185,114.141019,22.322073,93.552570,1.000000,1.000000,1.000000,21.699782
86432.003000,23.000000,11.000000,22092146.092000,22092619.552658,147.806558,52.156490,48.000000,3.015388,2.972084,479.448130,-70.092467,-1.000000,-9999.000000,-16767363.252951,20485303.829828,-1412046.888610,114.141019,22.322073,93.552570,1.000000,1.000000,1.000000,21.699782
86432.003000,24.000000,11.000000,25874417.018000,25956716.265289,48.910504,5.915415,44.000000,20.765079,7.886658,82327.899026,-13.469167,-0.241525,-9999.000000,-17979918.127697,-5787204.935218,18532716.953537,114.141019,22.322073,93.552570,1.000000,1.000000,1.000000,21.699782
86432.003000,25.000000,11.000000,21582703.653000,21668186.154577,99.105124,57.050148,49.000000,2.838237,2.802625,85488.142439,26.871679,0.616403,-9999.000000,-19452535.516351,16149423.198461,7369916.004741,114.141019,22.322073,93.552570,1.000000,1.000000,1.000000,21.699782
86432.003000,26.000000,11.000000,25530254.969000,25585100.296846,201.500040,9.636638,44.000000,13.694238,6.375434,54865.397519,12.518501,0.311154,-9999.000000,642713.470511,20363014.548702,-16959078.675316,114.141019,22.322073,93.552570,1.000000,1.000000,1.000000,21.699782
86432.003000,29.000000,11.000000,-2.000000,-2.000000,136.494246,1.105828,-2.000000,-2.000000,-2.000000,-2.000000,-2.000000,-2.000000,-2.000000,-21639552.219482,5030334.938587,-14644785.515865,114.141019,22.322073,93.552570,1.000000,1.000000,1.000000,21.699782
86432.003000,31.000000,11.000000,22461449.572000,22412102.965328,256.470300,41.869595,48.000000,3.565201,3.077678,-49339.963793,-98732.035500,-1.000000,-9999.000000,5816591.476550,25254546.293815,4401848.823437,114.141019,22.322073,93.552570,1.000000,1.000000,1.000000,21.699782
86432.003000,32.000000,11.000000,22928808.833000,22908647.033177,334.994228,41.989505,48.000000,3.556944,3.065646,-20155.177233,-49.133619,-1.000000,-9999.000000,626328.727160,15499588.115041,21702079.261267,114.141019,22.322073,93.552570,1.000000,1.000000,1.000000,21.699782
86432.003000,35.000000,11.000000,-2.000000,-2.000000,116.615677,13.656564,-2.000000,-2.000000,-2.000000,-2.000000,-2.000000,-2.000000,-2.000000,-24442026.522970,5268215.923782,-4853120.165768,114.141019,22.322073,93.552570,1.000000,1.000000,1.000000,21.699782
86432.003000,36.000000,11.000000,-2.000000,-2.000000,72.023082,49.289487,-2.000000,-2.000000,-2.000000,-2.000000,-2.000000,-2.000000,-2.000000,-19131053.718467,11823726.306302,12053650.770737,114.141019,22.322073,93.552570,1.000000,1.000000,1.000000,21.699782
86432.003000,37.000000,11.000000,-2.000000,-2.000000,353.299948,39.698743,-2.000000,-2.000000,-2.000000,-2.000000,-2.000000,-2.000000,-2.000000,-3275178.583465,11911825.746877,22324415.935541,114.141019,22.322073,93.552570,1.000000,1.000000,1.000000,21.699782
86432.003000,46.000000,11.000000,-2.000000,-2.000000,27.881675,29.672472,-2.000000,-2.000000,-2.000000,-2.000000,-2.000000,-2.000000,-2.000000,-11961800.481057,5071864.395405,21957729.347058,114.141019,22.322073,93.552570,1.000000,1.000000,1.000000,21.699782
86432.003000,47.000000,11.000000,-2.000000,-2.000000,21.928701,85.299798,-2.000000,-2.000000,-2.000000,-2.000000,-2.000000,-2.000000,-2.000000,-9945161.165392,20756908.733981,11004706.478902,114.141019,22.322073,93.552570,1.000000,1.000000,1.000000,21.699782
86432.003000,52.000000,11.000000,-2.000000,-2.000000,261.775983,4.631424,-2.000000,-2.000000,-2.000000,-2.000000,-2.000000,-2.000000,-2.000000,18107036.927538,18002951.965089,-43524.694943,114.141019,22.322073,93.552570,1.000000,1.000000,1.000000,21.699782
86432.003000,58.000000,11.000000,-2.000000,-2.000000,178.124483,50.941806,-2.000000,-2.000000,-2.000000,-2.000000,-2.000000,-2.000000,-2.000000,-12410683.882375,26463111.518392,-4598600.502469,114.141019,22.322073,93.552570,1.000000,1.000000,1.000000,21.699782
86432.003000,59.000000,11.000000,-2.000000,-2.000000,7.838817,53.499883,-2.000000,-2.000000,-2.000000,-2.000000,-2.000000,-2.000000,-2.000000,-9361465.333279,16079815.002986,23020104.422028,114.141019,22.322073,93.552570,1.000000,1.000000,1.000000,21.699782
86432.003000,61.000000,11.000000,-2.000000,-2.000000,80.800550,32.828888,-2.000000,-2.000000,-2.000000,-2.000000,-2.000000,-2.000000,-2.000000,-26561957.506183,7229953.625304,10878878.715024,114.141019,22.322073,93.552570,1.000000,1.000000,1.000000,21.699782
86432.003000,64.000000,11.000000,-2.000000,-2.000000,312.266791,20.958407,-2.000000,-2.000000,-2.000000,-2.000000,-2.000000,-2.000000,-2.000000,13427668.401044,15190514.181333,21563213.407771,114.141019,22.322073,93.552570,1.000000,1.000000,1.000000,21.699782
86432.003000,69.000000,11.000000,-2.000000,-2.000000,298.052306,8.978444,-2.000000,-2.000000,-2.000000,-2.000000,-2.000000,-2.000000,-2.000000,20180900.226876,14531759.106772,16071683.367227,114.141019,22.322073,93.552570,1.000000,1.000000,1.000000,21.699782
86432.003000,71.000000,11.000000,-2.000000,-2.000000,248.428566,22.082698,-2.000000,-2.000000,-2.000000,-2.000000,-2.000000,-2.000000,-2.000000,13316785.559605,26350526.082845,-2178947.724017,114.141019,22.322073,93.552570,1.000000,1.000000,1.000000,21.699782
86432.003000,80.000000,11.000000,-2.000000,-2.000000,38.589208,11.270936,-2.000000,-2.000000,-2.000000,-2.000000,-2.000000,-2.000000,-2.000000,-16616170.082629,-4325397.271953,24090730.189647,114.141019,22.322073,93.552570,1.000000,1.000000,1.000000,21.699782
86432.003000,81.000000,11.000000,-2.000000,-2.000000,74.779891,58.954774,-2.000000,-2.000000,-2.000000,-2.000000,-2.000000,-2.000000,-2.000000,-20550371.304401,16710757.098739,13201077.096396,114.141019,22.322073,93.552570,1.000000,1.000000,1.000000,21.699782
86432.003000,86.000000,11.000000,-2.000000,-2.000000,204.154957,6.340849,-2.000000,-2.000000,-2.000000,-2.000000,-2.000000,-2.000000,-2.000000,2900639.340223,21569646.751996,-20065835.494433,114.141019,22.322073,93.552570,1.000000,1.000000,1.000000,21.699782
86432.003000,87.000000,11.000000,-2.000000,-2.000000,123.295532,46.697574,-2.000000,-2.000000,-2.000000,-2.000000,-2.000000,-2.000000,-2.000000,-34366869.475373,24416697.150018,-272728.034985,114.141019,22.322073,93.552570,1.000000,1.000000,1.000000,21.699782
86432.003000,88.000000,11.000000,-2.000000,-2.000000,238.240176,47.923902,-2.000000,-2.000000,-2.000000,-2.000000,-2.000000,-2.000000,-2.000000,4452452.907694,41963398.172133,754522.861686,114.141019,22.322073,93.552570,1.000000,1.000000,1.000000,21.699782
86432.003000,89.000000,11.000000,-2.000000,-2.000000,189.626001,63.328888,-2.000000,-2.000000,-2.000000,-2.000000,-2.000000,-2.000000,-2.000000,-14730473.647861,39548005.592540,-140163.872697,114.141019,22.322073,93.552570,1.000000,1.000000,1.000000,21.699782
86432.003000,90.000000,11.000000,-2.000000,-2.000000,111.149753,32.214420,-2.000000,-2.000000,-2.000000,-2.000000,-2.000000,-2.000000,-2.000000,-39643784.578477,14341079.446536,-662334.425982,114.141019,22.322073,93.552570,1.000000,1.000000,1.000000,21.699782
86432.003000,91.000000,11.000000,-2.000000,-2.000000,257.081982,24.437477,-2.000000,-2.000000,-2.000000,-2.000000,-2.000000,-2.000000,-2.000000,21926709.346789,36034424.642278,1187816.848001,114.141019,22.322073,93.552570,1.000000,1.000000,1.000000,21.699782
86432.003000,92.000000,11.000000,-2.000000,-2.000000,341.205134,53.140161,-2.000000,-2.000000,-2.000000,-2.000000,-2.000000,-2.000000,-2.000000,-3822281.760067,25975342.598642,33022876.895768,114.141019,22.322073,93.552570,1.000000,1.000000,1.000000,21.699782
86432.003000,93.000000,11.000000,-2.000000,-2.000000,174.074466,30.666716,-2.000000,-2.000000,-2.000000,-2.000000,-2.000000,-2.000000,-2.000000,-18119191.747527,32048236.003962,-20662429.323864,114.141019,22.322073,93.552570,1.000000,1.000000,1.000000,21.699782
86432.003000,94.000000,11.000000,-2.000000,-2.000000,202.435817,44.733967,-2.000000,-2.000000,-2.000000,-2.000000,-2.000000,-2.000000,-2.000000,-6927547.745004,40209620.991803,-10291340.653617,114.141019,22.322073,93.552570,1.000000,1.000000,1.000000,21.699782
86432.003000,95.000000,11.000000,-2.000000,-2.000000,314.973631,48.183348,-2.000000,-2.000000,-2.000000,-2.000000,-2.000000,-2.000000,-2.000000,5913687.587360,30134993.909526,29420633.143987,114.141019,22.322073,93.552570,1.000000,1.000000,1.000000,21.699782
